assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCF_000847045.1	PRJNA485481	na	na	na	na	ICTV species exemplar	10506	10506	Paramecium bursaria Chlorella virus 1	na	na	latest	Complete Genome	Major	Full	2011/07/15	ViralProj14564		GCA_000847045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/045/GCF_000847045.1_ViralProj14564
GCF_000899575.1	PRJNA485481	na	na	na	na	ICTV species exemplar	10732	1982894	Streptomyces phage R4	na	na	latest	Complete Genome	Major	Full	2012/11/13	ViralProj179407		GCA_000899575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/899/575/GCF_000899575.1_ViralProj179407
GCF_000839925.2	PRJNA485481	na	na	na	na	na	33771	2844816	Halorubrum phage HF2	na	na	latest	Complete Genome	Major	Full	2020/01/21	ViralProj14147		GCA_000839925.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/839/925/GCF_000839925.2_ViralProj14147
GCF_002827565.1	PRJNA485481	na	na	partial	na	ICTV species exemplar	42683	381899	Paramecium bursaria Chlorella virus CVA-1	na	na	latest	Chromosome	Major	Partial	2019/10/02	ASM282756v1		GCA_002827565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/827/565/GCF_002827565.1_ASM282756v1
GCF_002827625.1	PRJNA485481	na	na	partial	na	ICTV species exemplar	46019	46019	Paramecium bursaria Chlorella virus IL3A	na	IL3A	latest	Chromosome	Major	Partial	2018/08/24	ASM282762v1		GCA_002827625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/827/625/GCF_002827625.1_ASM282762v1
GCF_000873685.1	PRJNA485481	na	na	na	na	ICTV species exemplar	46021	46021	Paramecium bursaria Chlorella virus NY2A	strain=NY-2A	na	latest	Complete Genome	Major	Full	2007/10/08	ViralProj20989		GCA_000873685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/873/685/GCF_000873685.1_ViralProj20989
GCF_002833785.1	PRJNA485481	na	na	partial	na	ICTV species exemplar	83442	83442	Paramecium bursaria Chlorella virus NYs1	na	na	latest	Chromosome	Major	Partial	2019/06/28	ASM283378v1		GCA_002833785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/833/785/GCF_002833785.1_ASM283378v1
GCF_002827745.1	PRJNA485481	na	na	na	na	ICTV species exemplar	97195	97195	Heterosigma akashiwo virus 01	na	HaV53	latest	Complete Genome	Major	Full	2018/08/24	HaV53		GCA_002827745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/827/745/GCF_002827745.1_HaV53
GCF_000842365.1	PRJNA485481	na	na	na	na	ICTV species exemplar	205877	2006134	Mycobacterium phage Bxz1	na	na	latest	Complete Genome	Major	Full	2003/04/05	ViralProj14309		GCA_000842365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/842/365/GCF_000842365.1_ViralProj14309
GCF_000857445.1	PRJNA485481	na	na	na	na	ICTV species exemplar	238854	2734126	Synechococcus phage S-PM2	na	na	latest	Complete Genome	Major	Full	2005/02/03	ViralProj15223		GCA_000857445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/445/GCF_000857445.1_ViralProj15223
GCF_000859585.1	PRJNA485481	na	na	na	na	ICTV species exemplar	268746	2734140	Prochlorococcus phage P-SSM2	na	na	latest	Complete Genome	Major	Full	2010/11/19	ViralProj15135		GCA_000859585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/585/GCF_000859585.1_ViralProj15135
GCF_000857985.1	PRJNA485481	na	na	na	na	ICTV species exemplar	268747	2845939	Prochlorococcus phage P-SSM4	na	na	latest	Complete Genome	Major	Full	2010/11/19	ViralProj15136		GCA_000857985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/985/GCF_000857985.1_ViralProj15136
GCF_000846105.1	PRJNA485481	na	na	na	na	na	285013	285013	Sulfolobus virus STSV1	na	na	latest	Complete Genome	Major	Full	2004/09/10	ViralProj14561		GCA_000846105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/846/105/GCF_000846105.1_ViralProj14561
GCF_000871285.1	PRJNA485481	na	na	na	na	ICTV species exemplar	309181	2845023	Acidianus rod-shaped virus 1	na	na	latest	Complete Genome	Major	Full	2007/11/08	ViralProj27799		GCA_000871285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/285/GCF_000871285.1_ViralProj27799
GCF_000869685.1	PRJNA485481	na	na	na	na	ICTV species exemplar	322019	322019	Acanthocystis turfacea chlorella virus 1	strain=ATCV-1	na	latest	Complete Genome	Major	Full	2006/12/27	ViralProj18527		GCA_000869685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/869/685/GCF_000869685.1_ViralProj18527
GCF_003544495.1	PRJNA485481	na	na	derived from metagenome; fragmented assembly; genus undefined	na	ICTV species exemplar	340016	340016	uncultured virus	na	na	latest	Complete Genome	Major	Full	2023/05/04	ASM354449v1		GCA_003544495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/495/GCF_003544495.1_ASM354449v1
GCF_000867045.1	PRJNA485481	na	na	na	na	ICTV species exemplar	347327	2845961	Pseudomonas phage PA11	na	na	latest	Complete Genome	Major	Full	2006/03/03	ViralProj16386		GCA_000867045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/867/045/GCF_000867045.1_ViralProj16386
GCF_000869865.1	PRJNA485481	na	na	na	na	na	373404	2006134	Mycobacterium phage Catera	na	na	latest	Complete Genome	Major	Full	2006/06/21	ViralProj17141		GCA_000869865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/869/865/GCF_000869865.1_ViralProj17141
GCF_002827705.1	PRJNA485481	na	na	partial	na	ICTV species exemplar	373996	373996	Micromonas pusilla virus SP1	strain=SP1	na	latest	Chromosome	Major	Partial	2019/06/28	ASM282770v1		GCA_002827705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/827/705/GCF_002827705.1_ASM282770v1
GCF_000871245.1	PRJNA485481	na	na	na	na	na	380598	380598	Paramecium bursaria Chlorella virus AR158	strain=AR158	na	latest	Complete Genome	Major	Full	2007/10/08	ViralProj20991		GCA_000871245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/245/GCF_000871245.1_ViralProj20991
GCF_000870005.1	PRJNA485481	na	na	na	na	ICTV species exemplar	382359	2956240	Synechococcus phage syn9	na	na	latest	Complete Genome	Major	Full	2007/12/11	ViralProj17541		GCA_000870005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/870/005/GCF_000870005.1_ViralProj17541
GCF_000867825.1	PRJNA485481	na	na	na	na	na	399781	381899	Paramecium bursaria Chlorella virus FR483	strain=FR483	na	latest	Complete Genome	Major	Full	2006/11/30	ViralProj18305		GCA_000867825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/867/825/GCF_000867825.1_ViralProj18305
GCF_000869585.1	PRJNA485481	na	na	na	na	na	407392	407392	Thermus phage phiYS40	na	na	latest	Complete Genome	Major	Full	2006/11/21	ViralProj18277		GCA_000869585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/869/585/GCF_000869585.1_ViralProj18277
GCF_000893355.1	PRJNA485481	na	na	na	na	ICTV species exemplar	444859	2734149	Synechococcus phage S-SM1	strain=6501-1	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64701		GCA_000893355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/893/355/GCF_000893355.1_ViralProj64701
GCF_000890815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	444860	2956223	Synechococcus phage S-SM2	strain=8017-1	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64695		GCA_000890815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/815/GCF_000890815.1_ViralProj64695
GCF_000892495.1	PRJNA485481	na	na	na	na	ICTV species exemplar	444861	2734151	Prochlorococcus phage Syn1	strain=Syn1	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64713		GCA_000892495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/892/495/GCF_000892495.1_ViralProj64713
GCF_000890835.1	PRJNA485481	na	na	na	na	na	444862	2734148	Prochlorococcus phage P-RSM4	strain=9303-10a	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64703		GCA_000890835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/835/GCF_000890835.1_ViralProj64703
GCF_000891815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	444878	2734097	Prochlorococcus phage Syn33	strain=Syn33	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64707		GCA_000891815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/815/GCF_000891815.1_ViralProj64707
GCF_000891795.1	PRJNA485481	na	na	na	na	ICTV species exemplar	445683	2734079	Synechococcus phage S-ShM2	strain=8102-4	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64699		GCA_000891795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/795/GCF_000891795.1_ViralProj64699
GCF_000893375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	445684	2734134	Synechococcus phage Syn19	strain=Syn19	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64709		GCA_000893375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/893/375/GCF_000893375.1_ViralProj64709
GCF_000891835.1	PRJNA485481	na	na	na	na	ICTV species exemplar	445685	2955956	Synechococcus phage S-SSM5	strain=8102-12	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64715		GCA_000891835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/835/GCF_000891835.1_ViralProj64715
GCF_000890855.1	PRJNA485481	na	na	na	na	ICTV species exemplar	445686	2956125	Synechococcus phage S-SSM7	strain=8109-3	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64711		GCA_000890855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/855/GCF_000890855.1_ViralProj64711
GCF_000893395.1	PRJNA485481	na	na	na	na	ICTV species exemplar	445688	2734127	Prochlorococcus phage P-SSM7	strain=NATL1A-15	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64717		GCA_000893395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/893/395/GCF_000893395.1_ViralProj64717
GCF_000892475.1	PRJNA485481	na	na	na	na	ICTV species exemplar	445696	2734108	Prochlorococcus phage P-HM2	strain=M4-259	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64705		GCA_000892475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/892/475/GCF_000892475.1_ViralProj64705
GCF_000892455.1	PRJNA485481	na	na	na	na	ICTV species exemplar	445700	2734108	Prochlorococcus phage P-HM1	strain=M4-247	na	latest	Complete Genome	Major	Full	2011/03/24	ViralProj64697		GCA_000892455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/892/455/GCF_000892455.1_ViralProj64697
GCF_000871345.1	PRJNA485481	na	na	na	na	ICTV species exemplar	451705	2733971	Escherichia phage phiEcoM-GJ1	na	na	latest	Complete Genome	Major	Full	2007/12/04	ViralProj27979		GCA_000871345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/345/GCF_000871345.1_ViralProj27979
