TaxId	NCBIGroups
1052672	viral
1540097	viral
663554	viral
663556	viral
2826244	viral
2565674	viral
380598	viral
2565675	viral
2565676	viral
2565677	viral
2484247	viral
2565678	viral
1509405	viral
2565679	viral
1792032	viral
2565680	viral
2565681	viral
2951208	viral
929832	viral
2863150	viral
340016	viral
2565683	viral
2928692	viral
2005048	viral
2736186	viral
2570300	viral
2570301	viral
2873406	viral
2873407	viral
2873408	viral
2873404	viral
2873405	viral
1873994	viral
1873995	viral
1873996	viral
423368	viral
454168	viral
585201	viral
789642	viral
789643	viral
789644	viral
789645	viral
789646	viral
789647	viral
796730	viral
796731	viral
796732	viral
796733	viral
796734	viral
796735	viral
796736	viral
796737	viral
858305	viral
858306	viral
858307	viral
858308	viral
858309	viral
858310	viral
858311	viral
858312	viral
859196	viral
859197	viral
877468	viral
930778	viral
930779	viral
935706	viral
935707	viral
935708	viral
938144	viral
938145	viral
938146	viral
945539	viral
984243	viral
984244	viral
984245	viral
984246	viral
984247	viral
984248	viral
984249	viral
984250	viral
984251	viral
984252	viral
984253	viral
997335	viral
997336	viral
997337	viral
997338	viral
997339	viral
997340	viral
997341	viral
997342	viral
997343	viral
997344	viral
997345	viral
1124976	viral
1124979	viral
1127353	viral
1127354	viral
1127355	viral
1173888	viral
1173897	viral
1173898	viral
1173900	viral
1173901	viral
1173909	viral
1173910	viral
1173911	viral
1173913	viral
1173915	viral
1192576	viral
1192809	viral
1192832	viral
1227178	viral
1232155	viral
1232156	viral
1232157	viral
1232158	viral
1232159	viral
1232160	viral
1232161	viral
1232162	viral
1232163	viral
1232164	viral
1232165	viral
1232166	viral
1232167	viral
1232168	viral
1232169	viral
1232170	viral
1232183	viral
1243581	viral
1243582	viral
1275974	viral
1275975	viral
1275976	viral
1275977	viral
1299165	viral
1299166	viral
1299167	viral
1299168	viral
1299169	viral
1299170	viral
1299171	viral
1299172	viral
1299173	viral
1299174	viral
1299175	viral
1299176	viral
1299177	viral
1299178	viral
1299179	viral
1299180	viral
1299181	viral
1299182	viral
1299183	viral
1299184	viral
1299185	viral
1299186	viral
1299187	viral
1299188	viral
1299189	viral
1299190	viral
1299191	viral
1299193	viral
1299194	viral
1299195	viral
1299196	viral
1299197	viral
1299198	viral
1299199	viral
1299200	viral
1299201	viral
1299202	viral
1299203	viral
1299204	viral
1299206	viral
1299207	viral
1299208	viral
1299210	viral
1299211	viral
1299212	viral
1299213	viral
1299214	viral
1324318	viral
1324319	viral
1324320	viral
1324321	viral
1324322	viral
1324323	viral
1324335	viral
1324336	viral
1324337	viral
1324338	viral
1324339	viral
1324340	viral
1324341	viral
1324342	viral
1399776	viral
1399777	viral
1399778	viral
1399779	viral
1399780	viral
1399781	viral
1399782	viral
1399783	viral
1399784	viral
1399785	viral
1399786	viral
1399787	viral
1399788	viral
1399789	viral
1399790	viral
1399791	viral
1399792	viral
1454614	viral
1454615	viral
1454616	viral
1454617	viral
1454618	viral
1454619	viral
1454620	viral
1454621	viral
1454622	viral
1454623	viral
1454624	viral
1454625	viral
1454626	viral
1454627	viral
1454628	viral
1454629	viral
2565688	viral
2805843	viral
2805844	viral
2565690	viral
2565691	viral
2863195	viral
2936925	viral
938081	viral
1298530	viral
1175654	viral
2596966	viral
2951272	viral
2951273	viral
2951274	viral
2979958	viral
2848887	viral
2848886	viral
743545	viral
2932861	viral
2736258	viral
2830470	viral
2914443	viral
2562189	viral
2743863	viral
696472	viral
1519788	viral
2801837	viral
2826424	viral
2873528	viral
2500801	viral
2743865	viral
1913034	viral
2793677	viral
1913044	viral
2871516	viral
2951389	viral
2928862	viral
2801887	viral
2801888	viral
2801889	viral
2928864	viral
2590947	viral
2793699	viral
550538	viral
685040	viral
909947	viral
1192561	viral
1299262	viral
1340855	viral
1340856	viral
1340857	viral
596155	viral
1192724	viral
1192725	viral
1299257	viral
1299258	viral
1329901	viral
1347789	viral
1436135	viral
1436137	viral
1439825	viral
1439826	viral
1439827	viral
1439828	viral
1439829	viral
1439830	viral
1439831	viral
1439832	viral
1439833	viral
1439834	viral
1439835	viral
1439836	viral
1439837	viral
1439838	viral
1439839	viral
1439840	viral
1439841	viral
1439842	viral
1439843	viral
1439844	viral
1439845	viral
1439846	viral
1439847	viral
1439848	viral
1439849	viral
1439850	viral
1439851	viral
1443276	viral
596158	viral
930770	viral
1079477	viral
1079478	viral
1114952	viral
1173882	viral
1192571	viral
1299087	viral
1299088	viral
1299089	viral
1299090	viral
1299091	viral
1299092	viral
1299093	viral
1299094	viral
1299095	viral
1299096	viral
1299097	viral
1299098	viral
1299099	viral
1328333	viral
1328334	viral
597	viral
913081	viral
938143	viral
1192811	viral
1240693	viral
75555	viral
