protein1	protein2	pident	evalue	coverage	fam
YP_009032326.1	YP_009859594.1--GCF_013215495.1	62.4	1.51e-147	97.7	in_family_DpdA1
YP_009032326.1	YP_009603585.1--GCF_002623005.1	69.3	8.39e-163	98.6	in_family_DpdA1
YP_009032326.1	YP_009285845.1--GCF_001744715.1	69.6	7.22e-164	98.6	in_family_DpdA1
YP_009032326.1	YP_010719496.1--GCF_002955035.1	69.6	3.58e-164	98.6	in_family_DpdA1
YP_009032326.1	YP_010719765.1--GCF_009388325.1	69.3	8.39e-163	98.6	in_family_DpdA1
YP_009032326.1	YP_010719674.1--GCF_020492155.1	69.0	2.4e-162	98.6	in_family_DpdA1
YP_009032326.1	YP_010719568.1--GCF_025630365.1	69.6	7.22e-164	98.6	in_family_DpdA1
YP_009032326.1	YP_009032326.1	100.0	2.56e-243	100.0	in_family_DpdA1
